ISO,ID,Reg_ID,Reg_name,impf_RF
MTQ,141,2,CAR,6
MUS,142,0,,1
MWI,143,5,SSA,1
MYS,144,7,SEA,2
MYT,145,5,SSA,1
NAM,146,13,SAF,1
NCL,147,10,PIS1,5
NER,148,5,SSA,1
NFK,149,10,PIS1,5
NGA,150,5,SSA,1
NIC,151,2,CAR,6
NIU,152,10,PIS2,5
NLD,153,11,EUR,3
NOR,154,11,EUR,3
NPL,155,6,SWA,2
NRU,156,10,PIS1,5
NZL,157,10,AUS,5
OMN,158,15,ARA,2
PAK,159,6,SWA,2
PAN,160,2,CAR,6
PCN,161,10,PIS2,5
PER,162,3,LAN,6
PHL,163,7,SEA,2
PLW,164,0,,5
PNG,165,7,SEA,2
POL,166,11,EUR,3
PRI,167,2,CAR,6
PRK,168,8,CHN,2
PRT,169,11,EUR,3
PRY,170,4,LAS,6
PSE,171,15,ARA,2
PYF,172,10,PIS2,5
QAT,173,15,ARA,2
REU,174,0,,3
ROU,175,9,EUA,3
RUS,176,9,EUA,3
RWA,177,5,SSA,1
SAU,178,15,ARA,2
SCG,179,11,EUR,3
SDN,180,5,SSA,1
SEN,181,5,SSA,1
SGP,182,7,SEA,2
SHN,183,13,SAF,1
SJM,184,11,EUR,3
SLB,185,10,PIS1,5
SLE,186,5,SSA,1
SLV,187,2,CAR,6
SMR,188,0,,3
SOM,189,5,SSA,1
SPM,190,0,,6
STP,191,5,SSA,1
SUR,192,3,LAN,6
SVK,193,11,EUR,3
SVN,194,11,EUR,3
SWE,195,11,EUR,3
SWZ,196,13,SAF,1
SYC,197,0,,3
SYR,198,15,ARA,2
TCA,199,2,CAR,6
TCD,200,5,SSA,1
TGO,201,5,SSA,1
THA,202,7,SEA,2
TJK,203,14,CAS,2
TKL,204,10,PIS2,5
TKM,205,15,ARA,2
TLS,206,7,SEA,2
TON,207,10,PIS2,5
TTO,208,3,LAN,6
TUN,209,12,NAF,1
TUR,210,15,ARA,2
TUV,211,10,PIS1,5
TWN,212,8,CHN,2
TZA,213,5,SSA,1
UGA,214,5,SSA,1
UKR,215,9,EUA,3
URY,216,4,LAS,6
USA,217,1,NAM,4
UZB,218,14,CAS,2
VCT,219,2,CAR,6
VEN,220,3,LAN,6
VGB,221,2,CAR,6
VIR,222,2,CAR,6
VNM,223,7,SEA,2
VUT,224,10,PIS1,5
WLF,225,10,PIS2,5
WSM,226,10,PIS2,5
YEM,227,15,ARA,2
ZAF,228,13,SAF,1
ZMB,229,5,SSA,1
ZWE,230,5,SSA,1
