country,region_id,cal_region2,year,EM_ID,ibtracsID,emdat_impact,reference_year,emdat_impact_scaled,climada_impact,v_thresh,v_half,scale,log_ratio,unique_ID,Associated_disaster,Surge,Rain,Flood,Slide,Other,OtherThanSurge
BGD,50,NI,1985,1985-0063,1985143N16088,50000000.0,2014,388010978.9,387689559.208411,25.7,73.80000000000071,1.0,-0.0008287211216022284,1985-0063BGD,True,True,False,True,False,False,True
USA,840,NA2,1985,1985-0104,1985240N20286,1100000000.0,2014,4434115752.0,4434804313.980564,25.7,91.50000000000091,1.0,0.00015527527068122,1985-0104USA,False,False,False,False,False,False,False
USA,840,NA2,1985,1985-0111,1985260N13336,900000000.0,2014,3627912888.0,3625496586.5926147,25.7,165.000000000002,1.0,-0.0006662526099569199,1985-0111USA,False,False,False,False,False,False,False
KOR,410,WP4,1985,1985-0118,1985268N03161,14000000.0,2014,197048615.5,198029017.50270352,25.7,37.70000000000017,1.0,0.004963095519813496,1985-0118KOR,False,False,False,False,False,False,False
USA,840,NA2,1985,1985-0126,1985299N25270,1500000000.0,2014,6046521480.0,6044937215.138289,25.7,72.90000000000067,1.0,-0.0002620469392023433,1985-0126USA,False,False,False,False,False,False,False
PHL,608,WP2,1985,1985-0190,1985162N05154,20000000.0,2014,185189963.4,183141092.23719552,25.7,31.90000000000009,1.0,-0.011125275830548408,1985-0190PHL,False,False,False,False,False,False,False
AUS,36,OC,1986,1986-0029,1986027S13145,70000000.0,2014,563514152.7,565444119.5522218,25.7,45.10000000000028,1.0,0.0034190258040950857,1986-0029AUS,False,False,False,False,False,False,False
MDG,450,SI,1986,1986-0042,1986067S11080,150000000.0,2014,491370641.1,493215306.7840605,25.7,53.3000000000004,1.0,0.00374709358059052,1986-0042MDG,False,False,False,False,False,False,False
SLB,90,OC,1986,1986-0065,1986135S07160,20000000.0,2014,111253691.9,110450052.78684098,25.7,37.50000000000017,1.0,-0.007249698322460863,1986-0065SLB,False,False,False,False,False,False,False
CHN,156,WP3,1986,1986-0081,1986179N11175,380000000.0,2014,13244203233.0,13188900321.867151,25.7,48.10000000000032,1.0,-0.004184373712266691,1986-0081CHN,False,False,False,False,False,False,False
TWN,158,WP4,1986,1986-0115,1986252N06153,80000000.0,2014,542490477.2860905,542431362.5854712,25.7,290.10000000000383,1.0,-0.0001089750404228804,1986-0115TWN,False,False,False,False,False,False,False
FJI,242,OC,1986,1986-0143,1986356S07183,20000000.0,2014,69498014.25,13482626.584064305,25.7,25.8,1.0,-1.6398962432669628,1986-0143FJI,False,False,False,False,False,False,False
PHL,608,WP2,1986,1986-0152,1986276N07177,36000000.0,2014,343006780.4,344811815.24947816,25.7,34.10000000000012,1.0,0.005248590266696848,1986-0152PHL,False,False,False,False,False,False,False
PHL,608,WP2,1986,1986-0153,1986343N05176,4000000.0,2014,38111864.49,38099421.54575161,25.7,272.6000000000035,1.0,-0.0003265381023256262,1986-0153PHL,False,False,False,False,False,False,False
VUT,548,OC,1987,1987-0057,1987035S12160,25000000.0,2014,155722786.8,155650596.26113707,25.7,48.900000000000325,1.0,-0.00046369114435349743,1987-0057VUT,False,False,False,False,False,False,False
KOR,410,WP4,1987,1987-0130,1987188N10151,325000000.0,2014,3138801397.0,3134047294.6383,25.7,99.50000000000105,1.0,-0.0015157717029824736,1987-0130KOR,False,False,False,False,False,False,False
CHN,156,WP3,1987,1987-0159,1987245N15133,120000000.0,2014,4608092264.0,4627134752.079154,25.7,40.700000000000216,1.0,0.004123886729167097,1987-0159CHN,False,False,False,False,False,False,False
BMU,60,NA1,1987,1987-0164,1987263N10309,50000000.0,2014,214952184.2,214688521.59115285,25.7,59.400000000000475,1.0,-0.0012273634150215568,1987-0164BMU,False,False,False,False,False,False,False
PHL,608,WP2,1987,1987-0212,1987320N03171,56000000.0,2014,480080890.5,479688254.88242215,25.7,170.00000000000202,1.0,-0.000818187668087491,1987-0212PHL,False,False,False,False,False,False,False
PHL,608,WP2,1987,1987-0239,1987219N08155,5600000.0,2014,48008089.05,47999808.51513859,25.7,105.50000000000112,1.0,-0.0001724969526870477,1987-0239PHL,False,False,False,False,False,False,False
PHL,608,WP2,1987,1987-0240,1987343N05154,8500000.0,2014,72869420.88,72908124.38051845,25.7,82.0000000000008,1.0,0.0005309940067748128,1987-0240PHL,False,False,False,False,False,False,False
PHL,608,WP2,1988,1988-0312,1988193N09149,11516000.0,2014,86504877.06,86385597.87409082,25.7,35.600000000000136,1.0,-0.0013798239015704122,1988-0312PHL,False,False,False,False,False,False,False
MEX,484,NA1,1988,1988-0430,1988253N12306,76000000.0,2014,550112928.0,550213379.8554538,25.7,168.40000000000202,1.0,0.0001825855748712338,1988-0430MEX,True,False,False,True,False,False,True
NIC,558,NA1,1988,1988-0481,1988285N09318,400000000.0,2014,1806289799.0,1817479172.1348128,25.7,36.500000000000156,1.0,0.006175564052361682,1988-0481NIC,False,False,False,False,False,False,False
PHL,608,WP2,1988,1988-0506,1988308N09140,149060000.0,2014,1119695812.0,1120889296.8480778,25.7,42.90000000000025,1.0,0.001065333297308934,1988-0506PHL,False,False,False,False,False,False,False
PHL,608,WP2,1988,1988-0557,1988306N15130,940000.0,2014,7061009.416,7131612.631629872,25.7,31.90000000000009,1.0,0.009949366341049128,1988-0557PHL,False,False,False,False,False,False,False
ATG,28,NA1,1989,1989-0115,1989254N13340,80000000.0,2014,232560060.9,233463359.62296844,25.7,49.300000000000345,1.0,0.0038766285746082004,1989-0115ATG,False,False,False,False,False,False,False
DMA,212,NA1,1989,1989-0115,1989254N13340,20000000.0,2014,56557045.94,56990741.94195158,25.7,40.700000000000216,1.0,0.007639041130878057,1989-0115DMA,False,False,False,False,False,False,False
KNA,659,NA1,1989,1989-0115,1989254N13340,46000000.0,2014,219073474.2,218799713.4114765,25.7,48.10000000000032,1.0,-0.0012504114521659432,1989-0115KNA,False,False,False,False,False,False,False
MSR,500,NA1,1989,1989-0115,1989254N13340,240000000.0,2014,240000000.0,54629110.58106854,25.7,25.8,1.0,-1.480072021845435,1989-0115MSR,False,False,False,False,False,False,False
USA,840,NA2,1989,1989-0115,1989254N13340,7000000000.0,2014,21678841358.0,21687159988.554527,25.7,116.40000000000128,1.0,0.00038364757636205144,1989-0115USA,False,False,False,False,False,False,False
VIR,850,NA1,1989,1989-0115,1989254N13340,21800000.0,2014,58754072.56,58790887.87131226,25.7,159.9000000000019,1.0,0.0006264039288622601,1989-0115VIR,False,False,False,False,False,False,False
PHL,608,WP2,1989,1989-0120,1989190N20160,61000000.0,2014,407741184.1,407187405.6653612,25.7,81.00000000000078,1.0,-0.0013590847758553472,1989-0120PHL,False,False,False,False,False,False,False
PHL,608,WP2,1989,1989-0125,1989279N07151,59200000.0,2014,395709477.0,395579902.6649594,25.7,249.3000000000032,1.0,-0.0003275017699684729,1989-0125PHL,False,False,False,False,False,False,False
PHL,608,WP2,1989,1989-0126,1989286N14137,35400000.0,2014,236623572.4,236735425.561558,25.7,87.60000000000088,1.0,0.00047259337678794757,1989-0126PHL,False,False,False,False,False,False,False
PHL,608,WP2,1989,1989-0132,1989314N10152,325000.0,2014,2172391.554,2172693.5937370714,25.7,298.7000000000039,1.0,0.00013902592344598489,1989-0132PHL,False,False,False,False,False,False,False
KOR,410,WP4,1989,1989-0265,1989201N11145,176500000.0,2014,1022890325.0,1028251600.5064226,25.7,50.10000000000035,1.0,0.005227612628000046,1989-0265KOR,False,False,False,False,False,False,False
AUS,36,OC,1989,1989-0398,1989089S11158,94300000.0,2014,461534104.7,461070798.6819542,25.7,71.50000000000065,1.0,-0.0010043433658164945,1989-0398AUS,False,False,False,False,False,False,False
IND,356,NI,1990,1990-0019,1990124N09088,580000000.0,2014,3684645392.0,3694898103.479332,25.7,74.10000000000069,1.0,0.0027786862649323693,1990-0019IND,False,False,False,False,False,False,False
CHN,156,WP3,1990,1990-0037,1990166N06141,16000000.0,2014,464775602.6,466700655.0211113,25.7,41.60000000000022,1.0,0.004133342414423336,1990-0037CHN,False,False,False,False,False,False,False
CHN,156,WP3,1990,1990-0038,1990171N11148,28000000.0,2014,813357304.5,812769447.7093841,25.7,106.60000000000116,1.0,-0.0007230147532173781,1990-0038CHN,False,False,False,False,False,False,False
FJI,242,OC,1990,1990-0121,1990327S07175,10000000.0,2014,33532784.13,33571889.312551826,25.7,130.30000000000152,1.0,0.001165498167932127,1990-0121FJI,False,False,False,False,False,False,False
CHN,156,WP3,1990,1990-0390,1990202N13130,83000000.0,2014,2411023438.0,2403268533.0730066,25.7,57.00000000000044,1.0,-0.003221620824342053,1990-0390CHN,False,False,False,False,False,False,False
MEX,484,NA1,1990,1990-0393,1990216N13281,90700000.0,2014,456380159.7,457720406.2661116,25.7,59.60000000000048,1.0,0.002932385289752819,1990-0393MEX,False,False,False,False,False,False,False
CHN,156,WP3,1990,1990-0402,1990235N10152,688000000.0,2014,19985350911.0,20029007454.86795,25.7,85.00000000000084,1.0,0.0021820447945547646,1990-0402CHN,False,False,False,False,False,False,False
CHN,156,WP3,1990,1990-0405,1990245N16149,154000000.0,2014,4473465175.0,4474420770.795237,25.7,103.60000000000109,1.0,0.00021359141246521366,1990-0405CHN,False,False,False,False,False,False,False
JPN,392,WP4,1990,1990-0407,1990251N06171,4000000000.0,2014,6193036523.0,6196291658.396988,25.7,178.10000000000218,1.0,0.0005254740893501609,1990-0407JPN,False,False,False,False,False,False,False
AUS,36,OC,1990,1990-0422,1990350S11165,155600000.0,2014,733330742.5,736672274.2885009,25.7,43.20000000000024,1.0,0.004546300253541361,1990-0422AUS,False,False,False,False,False,False,False
BGD,50,NI,1991,1991-0120,1991113N10091,1780000000.0,2014,9940604678.0,9948189982.245363,25.7,65.30000000000057,1.0,0.0007627716754801577,1991-0120BGD,True,False,False,True,False,False,True
USA,840,NA2,1991,1991-0218,1991228N26286,1500000000.0,2014,4256954560.0,4261266006.338247,25.7,91.00000000000091,1.0,0.0010122881117814015,1991-0218USA,False,False,False,False,False,False,False
WSM,882,OC,1991,1991-0364,1991338S08181,278000000.0,2014,1782167001.0,1782019359.2950602,25.7,42.60000000000024,1.0,-8.284735426240205e-05,1991-0364WSM,False,False,False,False,False,False,False
PHL,608,WP2,1991,1991-0382,1991289N06156,90000000.0,2014,563936202.8,562823931.5015831,25.7,54.80000000000041,1.0,-0.001974282947789777,1991-0382PHL,False,False,False,False,False,False,False
JPN,392,WP4,1991,1991-0526,1991200N05157,81500000.0,2014,110285260.8,110330966.91267036,25.7,66.30000000000058,1.0,0.0004143495136161319,1991-0526JPN,False,False,False,False,False,False,False
JPN,392,WP4,1991,1991-0539,1991256N13171,10000000000.0,2014,13531933846.0,13532696954.866478,25.7,131.0000000000015,1.0,5.639159627161529e-05,1991-0539JPN,False,False,False,False,False,False,False
THA,764,WP1,1991,1991-0710,1991220N10133,8323000.0,2014,34512098.63,34986428.56638504,25.7,34.10000000000012,1.0,0.013650283557504113,1991-0710THA,False,False,False,False,False,False,False
VNM,704,WP1,1992,1992-0061,1992174N13126,400000.0,2014,7548589.73,7552262.136645338,25.7,172.1000000000021,1.0,0.0004863840464320745,1992-0061VNM,False,False,False,False,False,False,False
USA,840,NA2,1992,1992-0066,1992230N11325,26500000000.0,2014,71005515347.0,71121951504.19995,25.7,95.40000000000099,1.0,0.0016384754590832245,1992-0066USA,False,False,False,False,False,False,False
VNM,704,WP1,1992,1992-0143,1992289N08135,18000000.0,2014,339686537.9,340038182.2559127,25.7,46.20000000000029,1.0,0.0010346670552241217,1992-0143VNM,False,False,False,False,False,False,False
FJI,242,OC,1992,1992-0162,1992338S04173,1600000.0,2014,4683021.159,4685294.258644401,25.7,260.20000000000334,1.0,0.0004852739447110108,1992-0162FJI,False,False,False,False,False,False,False
USA,840,NA2,1992,1992-0271,1992249N12229,5000000000.0,2014,13397267047.0,139213200.46389845,25.7,25.8,1.0,-4.566799439098642,1992-0271USA,True,False,False,True,False,True,True
MEX,484,NA1,1992,1992-0342,1992233N16254,3000000.0,2014,10859450.34,10821712.85383568,25.7,44.800000000000274,1.0,-0.0034811346546713526,1992-0342MEX,False,False,False,False,False,False,False
TWN,158,WP4,1992,1992-0357,1992237N14144,35000000.0,2014,83218785.15437673,83608159.71528856,25.7,42.400000000000226,1.0,0.004668014130051129,1992-0357TWN,False,False,False,False,False,False,False
HKG,344,WP4,1992,1992-0463,1992194N07140,219700000.0,2014,614100138.3,614469716.1458192,25.7,95.700000000001,1.0,0.0006016391426664226,1992-0463HKG,False,False,False,False,False,False,False
PNG,598,OC,1993,1993-0016,1993131S04158,1500000.0,2014,6953406.58,6945308.679786542,25.7,41.50000000000023,1.0,-0.0011652733333140446,1993-0016PNG,False,False,False,False,False,False,False
VUT,548,OC,1993,1993-0024,1993083S12181,6000000.0,2014,25998065.23,26020847.9094926,25.7,120.70000000000134,1.0,0.0008759383683473431,1993-0024VUT,False,False,False,False,False,False,False
PHL,608,WP2,1993,1993-0077,1993271N14134,188000000.0,2014,984067975.5,980564341.4263033,25.7,53.60000000000039,1.0,-0.0035667109390180034,1993-0077PHL,False,False,False,False,False,False,False
JPN,392,WP4,1993,1993-0079,1993246N16129,1300000000.0,2014,1415656470.0,1419557297.784996,25.7,33.0000000000001,1.0,0.0027517009762684863,1993-0079JPN,False,False,False,False,False,False,False
IND,356,NI,1993,1993-0085,1993331N07108,100000000.0,2014,730095393.3,729136239.3801082,25.7,88.30000000000089,1.0,-0.001314601515679031,1993-0085IND,False,False,False,False,False,False,False
PHL,608,WP2,1993,1993-0088,1993322N09137,2000000.0,2014,10468808.25,10463170.8218548,25.7,44.800000000000274,1.0,-0.0005386426445535259,1993-0088PHL,False,False,False,False,False,False,False
VNM,704,WP1,1993,1993-0088,1993322N09137,15000000.0,2014,211901951.8,212217305.14685243,25.7,81.00000000000078,1.0,0.001487097790553129,1993-0088VNM,False,False,False,False,False,False,False
CHN,156,WP3,1993,1993-0199,1993224N07153,433920000.0,2014,10227548827.0,10229454529.780987,25.7,64.40000000000055,1.0,0.000186312995433736,1993-0199CHN,False,False,False,False,False,False,False
PHL,608,WP2,1993,1993-0228,1993353N05159,17000000.0,2014,88984870.12,89019101.11366108,25.7,169.80000000000206,1.0,0.00038460933029539726,1993-0228PHL,False,False,False,False,False,False,False
CHN,156,WP3,1993,1993-0464,1993253N06150,263670000.0,2014,6214734972.0,6193264637.683889,25.7,65.70000000000057,1.0,-0.0034607279851758084,1993-0464CHN,False,False,False,False,False,False,False
CHN,156,WP3,1993,1993-0466,1993298N11154,15890000.0,2014,374529293.1,378991865.84785086,25.7,36.40000000000015,1.0,0.011844723585293333,1993-0466CHN,False,False,False,False,False,False,False
JPN,392,WP4,1993,1993-0473,1993211N07161,450000000.0,2014,490034931.9,490304476.13736653,25.7,240.600000000003,1.0,0.0005498998447864162,1993-0473JPN,False,False,False,False,False,False,False
MDG,450,SI,1994,1994-0009,1994007S16056,10000000.0,2014,35852773.5,36011276.82263396,25.7,47.0000000000003,1.0,0.00441120640835619,1994-0009MDG,False,False,False,False,False,False,False
BGD,50,NI,1994,1994-0044,1994117N07096,125000000.0,2014,639962654.8,641125319.7967275,25.7,49.60000000000034,1.0,0.001815121738707583,1994-0044BGD,False,False,False,False,False,False,False
PHL,608,WP2,1994,1994-0071,1994197N14115,37600000.0,2014,166973054.6,167152537.95201764,25.7,39.000000000000185,1.0,0.001074346732379107,1994-0071PHL,False,False,False,False,False,False,False
CHN,156,WP3,1994,1994-0138,1994153N19113,700000.0,2014,13002551.31,13003207.858503293,25.7,161.0000000000019,1.0,5.0492546606919955e-05,1994-0138CHN,False,False,False,False,False,False,False
CHN,156,WP3,1994,1994-0163,1994186N09139,96300000.0,2014,1788779559.0,1788690280.3710315,25.7,133.90000000000154,1.0,-4.991160400820029e-05,1994-0163CHN,False,False,False,False,False,False,False
TWN,158,WP4,1994,1994-0185,1994211N12152,232000000.0,2014,479958040.5400136,479778510.0328224,25.7,244.70000000000312,1.0,-0.0003741245640340661,1994-0185TWN,True,False,False,True,True,False,True
CHN,156,WP3,1994,1994-0198,1994224N20152,1150000000.0,2014,21361334294.0,21319044815.708336,25.7,88.20000000000088,1.0,-0.00198168305967622,1994-0198CHN,True,False,False,True,False,False,True
JPN,392,WP4,1994,1994-0198,1994224N20152,6000000.0,2014,5930761.695,5934549.687895516,25.7,208.4000000000026,1.0,0.0006384987130918407,1994-0198JPN,False,False,False,False,False,False,False
IND,356,NI,1994,1994-0352,1994302N11086,19100000.0,2014,119004702.0,119187618.63157396,25.7,82.50000000000081,1.0,0.001535873759875327,1994-0352IND,True,False,False,True,False,False,True
PHL,608,WP2,1994,1994-0519,1994287N14156,67400000.0,2014,299308082.0,299123832.18229693,25.7,259.20000000000334,1.0,-0.0006157753928508628,1994-0519PHL,True,False,False,True,False,False,True
PHL,608,WP2,1994,1994-0594,1994345N06165,26813000.0,2014,119070439.2,118906801.04355964,25.7,83.20000000000081,1.0,-0.0013752422884096612,1994-0594PHL,True,False,False,True,False,True,True
KOR,410,WP4,1995,1995-0183,1995229N12144,425000000.0,2014,1078553430.0,1077763417.7035165,25.7,70.00000000000063,1.0,-0.0007327423450519865,1995-0183KOR,True,False,False,True,False,False,True
CHN,156,WP3,1995,1995-0188,1995236N10134,87000000.0,2014,1241534250.0,1241256622.4890625,25.7,287.40000000000373,1.0,-0.00022364147957117258,1995-0188CHN,False,False,False,False,False,False,False
ATG,28,NA1,1995,1995-0192,1995240N11337,350000000.0,2014,773370483.3,771570241.1610793,25.7,42.700000000000244,1.0,-0.00233050100267551,1995-0192ATG,False,False,False,False,False,False,False
CAN,124,NA2,1995,1995-0192,1995240N11337,100000000.0,2014,297876572.4,298136149.14757097,25.7,160.30000000000192,1.0,0.0008710443740499212,1995-0192CAN,False,False,False,False,False,False,False
MSR,500,NA1,1995,1995-0192,1995240N11337,20000000.0,2014,20000000.0,19952696.783678927,25.7,31.60000000000009,1.0,-0.0023679622269597946,1995-0192MSR,False,False,False,False,False,False,False
MEX,484,NA1,1995,1995-0207,1995256N15253,800000000.0,2014,2920653641.0,2926031587.064044,25.7,36.500000000000156,1.0,0.0018396569580870264,1995-0207MEX,False,False,False,False,False,False,False
MEX,484,NA1,1995,1995-0256,1995281N14278,1500000000.0,2014,5476225576.0,5430128348.055279,25.7,28.900000000000052,1.0,-0.00845332964062978,1995-0256MEX,False,False,False,False,False,False,False
PHL,608,WP2,1995,1995-0271,1995293N05177,244000000.0,2014,936840738.5,1835824659.399783,25.7,325.70000000000425,1.0,0.6727357669954674,1995-0271PHL,False,False,False,False,False,False,False
VNM,704,WP1,1995,1995-0274,1995294N05163,21200000.0,2014,190369759.5,190451480.3834965,25.7,76.2000000000007,1.0,0.0004291823889649411,1995-0274VNM,True,False,False,True,False,False,True
IND,356,NI,1995,1995-0275,1995310N09096,46300000.0,2014,262049202.8,261827908.47458127,25.7,99.20000000000105,1.0,-0.0008448330107135347,1995-0275IND,False,False,False,False,False,False,False
KOR,410,WP4,1995,1995-0393,1995193N06156,140000000.0,2014,355288188.6,355117111.67287725,25.7,219.90000000000282,1.0,-0.00048163190889515694,1995-0393KOR,True,False,False,False,False,True,True
BHS,44,NA1,1995,1995-0404,1995212N22287,400000.0,2014,1278191.893,1280623.4068417496,25.7,66.00000000000057,1.0,0.0019005002617934772,1995-0404BHS,False,False,False,False,False,False,False
USA,840,NA2,1995,1995-0404,1995212N22287,700000000.0,2014,1600355804.0,1601774396.4365118,25.7,148.40000000000177,1.0,0.0008860305112665498,1995-0404USA,True,False,False,True,False,False,True
MOZ,508,SI,1996,1996-0052,1996001S08075,14500000.0,2014,69792056.75,69531437.29668416,25.7,41.30000000000023,1.0,-0.0037412176472261752,1996-0052MOZ,True,False,False,True,False,False,True
VNM,704,WP1,1996,1996-0110,1996202N17115,362000000.0,2014,2733698258.0,2738388826.0480204,25.7,70.50000000000064,1.0,0.0017143620431432883,1996-0110VNM,False,False,False,False,False,False,False
CHN,156,WP3,1996,1996-0168,1996203N12152,72000000.0,2014,873787160.8,873155109.9241812,25.7,170.4000000000021,1.0,-0.0007236082313535038,1996-0168CHN,False,False,False,False,False,False,False
TWN,158,WP4,1996,1996-0168,1996203N12152,1100000000.0,2014,1993824460.9429183,1994825291.5279,25.7,262.20000000000334,1.0,0.0005018393030705068,1996-0168TWN,False,False,False,False,False,False,False
CAN,124,NA2,1996,1996-0201,1996248N15319,100000.0,2014,286258.6963,286432.7090565259,25.7,220.70000000000286,1.0,0.000607701670580654,1996-0201CAN,False,False,False,False,False,False,False
PRI,630,NA1,1996,1996-0201,1996248N15319,500000000.0,2014,1129729966.0,1126838602.6132774,25.7,60.800000000000495,1.0,-0.002562620971720906,1996-0201PRI,True,False,False,True,True,False,True
VNM,704,WP1,1996,1996-0227,1996260N19107,11000000.0,2014,83068179.11,83458244.77853079,25.7,56.50000000000044,1.0,0.00468473858757624,1996-0227VNM,False,False,False,False,False,False,False
IND,356,NI,1996,1996-0256,1996306N15097,1500300000.0,2014,7786525250.0,7792066041.774883,25.7,79.80000000000076,1.0,0.0007113341514317492,1996-0256IND,True,False,False,True,False,False,True
MYS,458,WP1,1996,1996-0282,1996356N08110,52000000.0,2014,174301945.6,173673801.56255627,25.7,52.7000000000004,1.0,-0.0036102787325873902,1996-0282MYS,True,False,False,True,False,False,True
