Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","1998","1998","7021","Annual value","USD","118.2","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","1999","1999","7021","Annual value","USD","119.5","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","1999","1999","7021","Annual value","USD","297.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","1999","1999","7021","Annual value","USD","181.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","1999","1999","7021","Annual value","USD","115","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2000","2000","7021","Annual value","USD","95.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2000","2000","7021","Annual value","USD","243.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2000","2000","7021","Annual value","USD","190.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2000","2000","7021","Annual value","USD","93.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2001","2001","7021","Annual value","USD","94.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2001","2001","7021","Annual value","USD","230.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2001","2001","7021","Annual value","USD","210.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2001","2001","7021","Annual value","USD","96.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2002","2002","7021","Annual value","USD","93.5","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2002","2002","7021","Annual value","USD","223.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2002","2002","7021","Annual value","USD","190.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2002","2002","7021","Annual value","USD","91.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2003","2003","7021","Annual value","USD","149","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2003","2003","7021","Annual value","USD","232","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2003","2003","7021","Annual value","USD","249.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2003","2003","7021","Annual value","USD","129.2","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2004","2004","7021","Annual value","USD","116.1","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2004","2004","7021","Annual value","USD","161.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2004","2004","7021","Annual value","USD","258.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2004","2004","7021","Annual value","USD","119.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2005","2005","7021","Annual value","USD","128.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2005","2005","7021","Annual value","USD","201.8","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2005","2005","7021","Annual value","USD","262.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2005","2005","7021","Annual value","USD","116.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2006","2006","7021","Annual value","USD","164.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2006","2006","7021","Annual value","USD","259.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2006","2006","7021","Annual value","USD","270.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2006","2006","7021","Annual value","USD","152.5","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2007","2007","7021","Annual value","USD","256.4","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2007","2007","7021","Annual value","USD","348.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2007","2007","7021","Annual value","USD","475.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2007","2007","7021","Annual value","USD","259.2","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2008","2008","7021","Annual value","USD","180.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2008","2008","7021","Annual value","USD","429.5","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2008","2008","7021","Annual value","USD","568.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2008","2008","7021","Annual value","USD","212.5","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2009","2009","7021","Annual value","USD","170.8","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2009","2009","7021","Annual value","USD","352.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2009","2009","7021","Annual value","USD","447.2","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2009","2009","7021","Annual value","USD","155.4","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2010","2010","7021","Annual value","USD","247","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2010","2010","7021","Annual value","USD","401","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2010","2010","7021","Annual value","USD","552.1","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2010","2010","7021","Annual value","USD","246.4","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2011","2011","7021","Annual value","USD","259.2","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2011","2011","7021","Annual value","USD","415.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2011","2011","7021","Annual value","USD","504.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2011","2011","7021","Annual value","USD","268.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2012","2012","7021","Annual value","USD","276.1","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2012","2012","7021","Annual value","USD","355.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2012","2012","7021","Annual value","USD","595.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2012","2012","7021","Annual value","USD","285.2","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2013","2013","7021","Annual value","USD","227.4","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2013","2013","7021","Annual value","USD","356.8","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2013","2013","7021","Annual value","USD","590.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2013","2013","7021","Annual value","USD","244.4","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2014","2014","7021","Annual value","USD","194.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2014","2014","7021","Annual value","USD","421.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2014","2014","7021","Annual value","USD","475.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2014","2014","7021","Annual value","USD","216.2","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2015","2015","7021","Annual value","USD","173.8","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2015","2015","7021","Annual value","USD","372.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2015","2015","7021","Annual value","USD","385.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2015","2015","7021","Annual value","USD","172.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2016","2016","7021","Annual value","USD","175.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2016","2016","7021","Annual value","USD","361.3","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2016","2016","7021","Annual value","USD","380.2","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2016","2016","7021","Annual value","USD","159.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2017","2017","7021","Annual value","USD","160.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2017","2017","7021","Annual value","USD","333.8","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2017","2017","7021","Annual value","USD","390.9","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2017","2017","7021","Annual value","USD","157.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","7021","Annual value","USD","186.6","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","27","Rice, paddy","2018","2018","7021","Annual value","USD","372","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","236","Soybeans","2018","2018","7021","Annual value","USD","383.7","","Official data"
"PP","Producer Prices","68","France","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","7021","Annual value","USD","195","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","1991","1991","7021","Annual value","USD","214.2","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","1991","1991","7021","Annual value","USD","178.1","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","1992","1992","7021","Annual value","USD","216.7","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","1992","1992","7021","Annual value","USD","206.5","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","1993","1993","7021","Annual value","USD","161.8","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","1993","1993","7021","Annual value","USD","164.3","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","1994","1994","7021","Annual value","USD","169.8","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","1994","1994","7021","Annual value","USD","160","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","1995","1995","7021","Annual value","USD","204.1","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","1995","1995","7021","Annual value","USD","172.8","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","1996","1996","7021","Annual value","USD","191.8","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","1996","1996","7021","Annual value","USD","173.2","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","1997","1997","7021","Annual value","USD","137.6","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","1997","1997","7021","Annual value","USD","136.5","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","1998","1998","7021","Annual value","USD","131.6","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","1998","1998","7021","Annual value","USD","126.5","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","1999","1999","7021","Annual value","USD","126.2","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","1999","1999","7021","Annual value","USD","119.7","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2000","2000","7021","Annual value","USD","109.6","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2000","2000","7021","Annual value","USD","106.8","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2001","2001","7021","Annual value","USD","103.7","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2001","2001","7021","Annual value","USD","99.6","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2002","2002","7021","Annual value","USD","101.6","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2002","2002","7021","Annual value","USD","95.1","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2003","2003","7021","Annual value","USD","141.1","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2003","2003","7021","Annual value","USD","124.1","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2004","2004","7021","Annual value","USD","170.1","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2004","2004","7021","Annual value","USD","154","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2005","2005","7021","Annual value","USD","119.4","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2005","2005","7021","Annual value","USD","123.1","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2006","2006","7021","Annual value","USD","171.9","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2006","2006","7021","Annual value","USD","139.2","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2007","2007","7021","Annual value","USD","242.3","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2007","2007","7021","Annual value","USD","239.5","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2008","2008","7021","Annual value","USD","262.2","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2008","2008","7021","Annual value","USD","272.5","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2009","2009","7021","Annual value","USD","168.1","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2009","2009","7021","Annual value","USD","157","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2010","2010","7021","Annual value","USD","207.9","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2010","2010","7021","Annual value","USD","198.7","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2011","2011","7021","Annual value","USD","286.4","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2011","2011","7021","Annual value","USD","287.8","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2012","2012","7021","Annual value","USD","269.8","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2012","2012","7021","Annual value","USD","281.4","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2013","2013","7021","Annual value","USD","258.9","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2013","2013","7021","Annual value","USD","269.5","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2014","2014","7021","Annual value","USD","220.2","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2014","2014","7021","Annual value","USD","224.2","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2015","2015","7021","Annual value","USD","174.1","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2015","2015","7021","Annual value","USD","179.7","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2016","2016","7021","Annual value","USD","168.1","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2016","2016","7021","Annual value","USD","154.9","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2017","2017","7021","Annual value","USD","176.9","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2017","2017","7021","Annual value","USD","170.2","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","56","Maize","2018","2018","7021","Annual value","USD","194.8","","Official data"
"PP","Producer Prices","79","Germany","5532","Producer Price (USD/tonne)","15","Wheat","2018","2018","7021","Annual value","USD","198.8","","Official data"
